id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
75,88,アンタッチャブル ,2,11,,1994/1/1 0:00,,,シカゴマンゴ,両者,スクールJCA,,http://www.p-jinriki.com/talent/untouchable/,,
76,117,アントニオ ,2,11,,,2007/1/1 0:00,,ファインスタント（2006年3月まで）,,,,,,
77,108,アンドロイド,2,11,,2016/1/1 0:00,,,,翔大,兵庫県高砂市のサッカークラブ,,,,
78,104,アントワネット,2,11,,2013/1/1 0:00,,,,,学生お笑いライブ,,https://www.watanabepro.co.jp/mypage/4000082/,https://www.youtube.com/user/UCfNpvyH8F28u-0wPVXpcwpg,
79,128,アンバランス ,2,11,,1992/1/1 0:00,,,,山本栄治,,,http://www006.upp.so-net.ne.jp/kurokin/,,
80,53,あんぺあ,2,11,,2004/1/1 0:00,2012/1/1 0:00,,アンペア,,,,https://web.archive.org/web/20091118174518/http://www.sunmusic.org/profile/ampere.html,,
81,117,イアソン,2,11,,,2009/5/1 0:00,,,,,,,,
82,16,いい塩梅,2,11,,2017/1/1 0:00,2019/1/1 0:00,,,,,,http://heet-project.com/profile/iianbai/,,
83,104,EE男,2,11,,2003/1/1 0:00,,,,,日本大学在学中,,,,
84,65,Yes-man,2,11,,2004/1/1 0:00,2019/1/1 0:00,,,,小学校の同級生,,,,
85,149,庵。,2,11,,2003/1/1 0:00,2009/6/1 0:00,,,,,,,,
86,101,いかすぜジョナサン,2,11,,2014/4/1 0:00,,,カワマタ,,,,https://laugh-iine-pro.co.jp/talent/%E3%81%84%E3%81%8B%E3%81%99%E3%81%9C%E3%82%B8%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3/,,
87,45,粋なり,2,11,,1999/1/1 0:00,2003/1/1 0:00,,ラ☆パニック（鈴木） チャックリン（大輪）,,,,,,
88,108,EXIT ,2,11,,2017/1/1 0:00,,,SCANDAL（仮コンビ名） ベイビーギャング（りんたろー。） ぷりずん。（兼近）,りんたろー。,,,https://profile.yoshimoto.co.jp/talent/detail?id=6547,https://www.youtube.com/channel/UCr_Zyf2yUXCyk-hUSXFqcaQ,
89,47,いけないパラダイス,2,11,,2004/1/1 0:00,2009/1/1 0:00,,,,,,,,
90,108,囲碁将棋 ,2,11,,2004/1/1 0:00,,,,文田大介,東海大学付属相模高等学校,,https://profile.yoshimoto.co.jp/talent/detail?id=2784,,
91,88,いきるゆうき,2,11,,2007/1/1 0:00,2016/1/1 0:00,,イシクラノオノ,,養成所,,http://www.p-jinriki.com/pc/talent/ishikuranoono/,,
92,146,イシバシハザマ,2,11,,2001/1/1 0:00,,,,,NSC大阪校,,,,
93,999,いじわるコンビ,2,11,,,,,,,,,,,
94,999,イタガキ,2,11,,2009/1/1 0:00,,,,,,,,,
